date,region,cases
2020-04-20,16 - Montérégie,2366
2020-04-20,17 - Nunavik,14
2020-04-20,18 - Terres-Cries-de-la-Baie-James,5
2020-04-21,01 - Bas-Saint-Laurent,34
2020-04-21,02 - Saguenay–Lac-Saint-Jean,244
2020-04-21,03 - Capitale Nationale,630
2020-04-21,04 - Mauricie - Centre du Québec,1015
2020-04-21,05 - Estrie,794
2020-04-21,06 - Montréal,9348
2020-04-21,07 - Outaouais,219
2020-04-21,08 - Abitibi-Temiscamingue,148
2020-04-21,09 - Côte-Nord,111
2020-04-21,10 - Nord-du-Québec,7
2020-04-21,11 - Gaspésie-Îles-de-la-Madeleine,138
2020-04-21,12 - Chaudière-Appalaches,341
2020-04-21,13 - Laval,2199
2020-04-21,14 - Lanaudière,1462
2020-04-21,15 - Laurentides,906
2020-04-21,16 - Montérégie,2511
2020-04-21,17 - Nunavik,14
2020-04-21,18 - Terres-Cries-de-la-Baie-James,5
2020-04-22,01 - Bas-Saint-Laurent,34
2020-04-22,02 - Saguenay–Lac-Saint-Jean,249
2020-04-22,03 - Capitale Nationale,647
2020-04-22,04 - Mauricie - Centre du Québec,1046
2020-04-22,05 - Estrie,797
2020-04-22,06 - Montréal,9856
2020-04-22,07 - Outaouais,219
2020-04-22,08 - Abitibi-Temiscamingue,148
2020-04-22,09 - Côte-Nord,112
2020-04-22,10 - Nord-du-Québec,7
2020-04-22,11 - Gaspésie-Îles-de-la-Madeleine,146
2020-04-22,12 - Chaudière-Appalaches,346
2020-04-22,13 - Laval,2296
2020-04-22,14 - Lanaudière,1534
2020-04-22,15 - Laurentides,936
2020-04-22,16 - Montérégie,2573
